,genre_ids,original_language,popularity,release_date_x,movie,vote_average,vote_count,tconst,start_year,runtime_minutes,genres,id,release_date_y,production_budget,domestic_gross,worldwide_gross,total_profit,was_it_profitable_domestically
3025,"[18, 36]",en,9.582,2014-04-11,the railway man,6.9,408,tt2058107,2013,116.0,"Biography,Drama,Romance",33,2014-04-11,18000000,4438438,23910210,5910210,False
3026,"[36, 18]",en,9.541,2014-12-25,selma,7.5,1354,tt1020072,2014,128.0,"Biography,Drama,History",25,2015-01-09,20000000,52076908,66776576,46776576,True
3027,[35],en,9.516,2014-03-14,bad words,6.4,451,tt2170299,2013,89.0,"Comedy,Drama",44,2014-03-14,10000000,7779614,7843145,-2156855,False
3028,"[27, 53]",en,9.446,2014-01-03,paranormal activity: the marked ones,5.3,752,tt2473682,2014,84.0,"Horror,Mystery,Thriller",70,2014-01-03,5000000,32462372,90904854,85904854,True
3029,"[53, 28, 18]",en,9.362,2014-11-07,skin trade,5.6,96,tt1576702,2010,78.0,Documentary,19,2015-05-08,9000000,1242,1242,-8998758,False
3030,"[53, 28, 18]",en,9.362,2014-11-07,skin trade,5.6,96,tt1641841,2014,96.0,"Action,Crime,Thriller",19,2015-05-08,9000000,1242,1242,-8998758,False
3031,"[28, 80, 18]",en,9.194,2014-04-25,brick mansions,5.9,909,tt1430612,2014,90.0,"Action,Crime",69,2014-04-25,28000000,20396829,73421224,45421224,False
3032,"[18, 9648, 53]",en,9.193,2014-04-19,ask me anything,5.6,246,tt2505294,2014,100.0,Drama,33,2015-03-03,950000,0,0,-950000,False
3033,"[10749, 35]",en,9.191,2014-09-26,two night stand,6.5,1241,tt2140619,2014,86.0,"Comedy,Romance",60,2014-09-26,1600000,15600,868081,-731919,False
3034,"[18, 53]",en,9.128,2014-04-25,locke,6.9,1370,tt2692904,2013,85.0,Drama,37,2014-04-25,2000000,1370646,2088390,88390,False
3035,"[35, 12, 80, 10751]",en,9.118,2014-03-21,muppets most wanted,6.2,473,tt2281587,2014,107.0,"Adventure,Comedy,Crime",20,2014-03-21,55000000,51178893,79312301,24312301,False
3036,"[53, 18]",en,9.064,2014-12-04,dying of the light,4.6,174,tt1274586,2014,94.0,"Drama,Thriller",85,2014-12-05,5000000,0,74639,-4925361,False
3037,[18],en,9.019,2014-11-07,rosewater,6.7,121,tt2752688,2014,103.0,"Biography,Drama",74,2014-11-14,10000000,3128941,3185717,-6814283,False
3038,"[28, 53]",en,8.884,2014-08-08,into the storm,5.8,1169,tt10449526,2019,67.0,Documentary,40,2014-08-08,50000000,47602194,150429371,100429371,False
3039,"[28, 53]",en,8.884,2014-08-08,into the storm,5.8,1169,tt2106361,2014,89.0,"Action,Adventure,Drama",40,2014-08-08,50000000,47602194,150429371,100429371,False
3040,[35],en,8.832,2014-11-08,the opposite sex,4.1,20,tt2796678,2014,97.0,Comedy,48,2015-01-20,3300000,0,50206,-3249794,False
3041,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt1828325,2015,105.0,Drama,25,2014-12-10,25000000,33680992,38718031,13718031,True
3042,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt1828325,2015,105.0,Drama,50,1999-08-04,3000000,51773,101773,-2898227,False
3043,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2039393,2014,111.0,"Crime,Drama,Thriller",25,2014-12-10,25000000,33680992,38718031,13718031,True
3044,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2039393,2014,111.0,"Crime,Drama,Thriller",50,1999-08-04,3000000,51773,101773,-2898227,False
3045,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2843832,2013,52.0,Documentary,25,2014-12-10,25000000,33680992,38718031,13718031,True
3046,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2843832,2013,52.0,Documentary,50,1999-08-04,3000000,51773,101773,-2898227,False
3047,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2924336,2013,109.0,"Drama,Thriller",25,2014-12-10,25000000,33680992,38718031,13718031,True
3048,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt2924336,2013,109.0,"Drama,Thriller",50,1999-08-04,3000000,51773,101773,-2898227,False
3049,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt9447594,2019,121.0,"Action,Sci-Fi,Thriller",25,2014-12-10,25000000,33680992,38718031,13718031,True
3050,"[53, 80, 18]",en,8.807,2014-12-25,the gambler,5.8,783,tt9447594,2019,121.0,"Action,Sci-Fi,Thriller",50,1999-08-04,3000000,51773,101773,-2898227,False
3051,"[18, 10749]",en,8.776,2014-02-14,endless love,6.8,990,tt2318092,2014,104.0,"Drama,Romance",82,2014-02-14,20000000,23438250,34718173,14718173,True
3052,"[18, 878]",en,8.687000000000001,2014-08-11,the giver,6.5,3075,tt0435651,2014,97.0,"Drama,Romance,Sci-Fi",2,2014-08-15,25000000,45090374,66540205,41540205,True
3053,"[35, 27, 18, 53]",en,8.655,2014-09-19,tusk,5.3,601,tt3099498,2014,102.0,"Comedy,Drama,Horror",28,2014-09-19,3000000,1821983,1887554,-1112446,False
3054,"[35, 10749]",en,8.649,2014-01-31,that awkward moment,6.1,1759,tt1800246,2014,94.0,"Comedy,Romance",78,2014-01-31,8000000,26068955,53068955,45068955,True
3055,"[27, 28]",en,8.627,2014-11-14,wolves,5.8,151,tt1403241,2014,91.0,"Action,Fantasy,Horror",51,2014-11-14,18000000,0,94953,-17905047,False
3056,"[27, 28]",en,8.627,2014-11-14,wolves,5.8,151,tt4623856,2016,109.0,"Drama,Sport",51,2014-11-14,18000000,0,94953,-17905047,False
3057,[18],en,4.27,2016-10-25,wolves,5.8,22,tt1403241,2014,91.0,"Action,Fantasy,Horror",51,2014-11-14,18000000,0,94953,-17905047,False
3058,[18],en,4.27,2016-10-25,wolves,5.8,22,tt4623856,2016,109.0,"Drama,Sport",51,2014-11-14,18000000,0,94953,-17905047,False
3059,[18],en,4.27,2016-10-25,wolves,5.8,22,tt1403241,2014,91.0,"Action,Fantasy,Horror",51,2014-11-14,18000000,0,94953,-17905047,False
3060,[18],en,4.27,2016-10-25,wolves,5.8,22,tt4623856,2016,109.0,"Drama,Sport",51,2014-11-14,18000000,0,94953,-17905047,False
3061,"[16, 878]",ja,8.623,2014-08-01,space pirate captain harlock,6.5,596,tt1832471,2010,100.0,"Animation,Sci-Fi",11,2013-12-31,30000000,0,310985,-29689015,False
3062,"[18, 10749]",en,8.622,2014-10-17,the best of me,7.3,1512,tt1972779,2014,118.0,"Drama,Romance",42,2014-10-17,26000000,26766213,41059418,15059418,True
3063,[18],en,8.57,2014-04-11,joe,6.6,514,tt2382396,2013,117.0,"Crime,Drama",30,2014-04-11,4000000,373375,373375,-3626625,False
3064,[18],en,8.57,2014-04-11,joe,6.6,514,tt3532296,2014,87.0,Documentary,30,2014-04-11,4000000,373375,373375,-3626625,False
3065,[18],en,8.57,2014-04-11,joe,6.6,514,tt3614128,2014,5.0,"Biography,Documentary",30,2014-04-11,4000000,373375,373375,-3626625,False
3066,[18],en,8.57,2014-04-11,joe,6.6,514,tt8386524,2016,87.0,Drama,30,2014-04-11,4000000,373375,373375,-3626625,False
3067,"[35, 10749]",en,8.465,2014-02-14,about last night,6.0,312,tt1826590,2014,100.0,"Comedy,Romance",58,2014-02-14,13000000,48637684,50445860,37445860,True
3068,"[878, 18]",en,8.459,2014-07-18,i origins,7.6,1814,tt2884206,2014,106.0,"Drama,Romance,Sci-Fi",70,2014-07-18,1000000,336472,852399,-147601,False
3069,"[27, 35, 53]",en,8.455,2014-10-17,housebound,6.6,505,tt3504048,2014,107.0,"Comedy,Horror,Mystery",7,2014-10-17,1500000,0,236863,-1263137,False
3070,"[18, 53]",en,8.295,2014-10-10,addicted,5.3,103,tt2205401,2014,106.0,"Drama,Thriller",96,2014-10-10,5000000,17390770,17499242,12499242,True
3071,"[18, 53]",en,8.295,2014-10-10,addicted,5.3,103,tt3435418,2014,97.0,"Documentary,Music",96,2014-10-10,5000000,17390770,17499242,12499242,True
3072,"[18, 53]",en,8.295,2014-10-10,addicted,5.3,103,tt3587066,2017,109.0,Drama,96,2014-10-10,5000000,17390770,17499242,12499242,True
3073,"[18, 53]",en,8.295,2014-10-10,addicted,5.3,103,tt5396774,2013,55.0,Comedy,96,2014-10-10,5000000,17390770,17499242,12499242,True
3074,"[18, 53]",en,8.295,2014-10-10,addicted,5.3,103,tt6949630,2017,54.0,Drama,96,2014-10-10,5000000,17390770,17499242,12499242,True
3075,[18],en,8.289,2014-02-28,son of god,6.4,123,tt1805411,2010,80.0,Documentary,11,2014-02-28,22000000,59700064,70949793,48949793,True
3076,[18],en,8.289,2014-02-28,son of god,6.4,123,tt3210686,2014,138.0,"Biography,Drama,History",11,2014-02-28,22000000,59700064,70949793,48949793,True
3077,[18],en,8.26,2014-08-08,the hundred-foot journey,7.3,785,tt2980648,2014,122.0,"Comedy,Drama",13,2014-08-08,22000000,54235441,94270488,72270488,True
3078,"[35, 10749]",en,8.25,2014-06-20,think like a man too,6.3,319,tt2239832,2014,106.0,"Comedy,Romance",36,2014-06-20,24000000,65028687,70027933,46027933,True
3079,"[35, 18, 10749]",en,8.235,2014-07-25,and so it goes,5.9,264,tt2465146,2014,94.0,"Comedy,Drama,Romance",14,2014-07-25,18000000,15160801,17920013,-79987,False
3080,"[35, 10749]",en,8.232000000000001,2014-06-06,obvious child,6.7,256,tt2910274,2014,84.0,"Comedy,Drama,Romance",41,2014-06-06,1000000,3122616,3324070,2324070,True
3081,"[37, 18]",en,8.232000000000001,2014-08-29,the homesman,6.5,389,tt2398231,2014,122.0,"Drama,Western",70,2014-11-14,16000000,2429989,8217571,-7782429,False
3082,[18],en,8.05,2015-01-30,black or white,6.8,193,tt2883434,2014,121.0,Drama,80,2015-01-30,9000000,21571189,21971021,12971021,True
