movie,production_budget,domestic_gross,production_profit_domestic
Gone Girl,61000000,167767189,106767189
Magic Mike,7000000,113721571,106721571
Ice Age: Dawn of the Dinosaurs,90000000,196573705,106573705
The Fast and the Furious,38000000,144512310,106512310
The Matrix,65000000,171479930,106479930
Rambo: First Blood Part II,44000000,150415432,106415432
I am Legend,150000000,256393010,106393010
Rush Hour,35000000,141186864,106186864
Cinderella,95000000,201151353,106151353
Porky's,4000000,109492484,105492484
One Flew Over the Cuckoo's Nest,4400000,108981275,104581275
Skyfall,200000000,304360277,104360277
The Mummy Returns,98000000,202007640,104007640
Superbad,17500000,121463226,103963226
Jerry Maguire,50000000,153952592,103952592
Terminator 2: Judgment Day,100000000,203464105,103464105
Hotel Transylvania 3: Summer Vacation,65000000,167500092,102500092
War of the Worlds,132000000,234280354,102280354
Towering Inferno,14000000,116000000,102000000
Bambi,858000,102797000,101939000
The Mask,18000000,119920129,101920129
John Wick: Chapter 3 â Parabellum,40000000,141744320,101744320
Wayne's World,20000000,121697323,101697323
Mission: Impossible,80000000,180981886,100981886
Doctor Zhivago,11000000,111897830,100897830
The Grudge,10000000,110359362,100359362
Daddyâs Home,50000000,150357137,100357137
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,100173195
Pulp Fiction,8000000,107928762,99928762
Identity Thief,35000000,134506920,99506920
Logan,127000000,226277068,99277068
Driving Miss Daisy,7500000,106593296,99093296
Paranormal Activity 3,5000000,104028807,99028807
Moana,150000000,248757044,98757044
Cheaper by the Dozen,40000000,138614544,98614544
As Good as it Gets,50000000,148478011,98478011
Ocean's Eleven,85000000,183417150,98417150
Venom,116000000,213511408,97511408
The Bourne Ultimatum,130000000,227471070,97471070
Jackass 3D,20000000,117229692,97229692
Billy Jack,800000,98000000,97200000
Big,18000000,114968774,96968774
The Bodyguard,25000000,121945720,96945720
Twins,15000000,111936388,96936388
21 Jump Street,42000000,138447667,96447667
Butch Cassidy and the Sundance Kid,6000000,102308900,96308900
Mary Poppins,6000000,102272145,96272145
The Lego Batman Movie,80000000,175750384,95750384
Mission: Impossible 2,120000000,215409889,95409889
Crocodile Dundee 2,14000000,109306210,95306210
Sex and the City,57500000,152647258,95147258
The Vow,30000000,125014030,95014030
Taken 2,45000000,139854287,94854287
Black Swan,13000000,106954678,93954678
Bad Moms,20000000,113257297,93257297
A Beautiful Mind,78000000,170708996,92708996
The Da Vinci Code,125000000,217536138,92536138
